dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-15T07:34:12.199177674Z,24,2.1,0,21,28,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T07:35:11.699305599Z,22,2.3,0,21,30,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:36:12.214510449Z,24,2.1,0,21,33,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:37:11.735084635Z,23,2.2,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:38:12.251558326Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:39:11.761886781Z,23,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:40:11.284956749Z,22,2.3,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:41:11.813024814Z,23,2.3,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:42:11.313731158Z,22,2.3,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:43:11.821792777Z,23,2.2,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:44:11.364378676Z,23,2.3,0,21,33,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:45:11.861773949Z,21,2.3,0,21,32,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:46:11.377363375Z,23,2.3,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:47:11.887045646Z,22,2.3,0,21,23,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:48:11.403953114Z,22,2.3,0,21,26,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:49:11.930761539Z,24,2.3,0,21,26,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:50:11.439318937Z,23,2.3,0,21,31,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:51:11.950457155Z,21,2.3,0,21,28,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:52:11.469835403Z,22,2.3,0,21,28,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:53:12.042077497Z,23,2.3,0,21,31,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:54:11.529267004Z,23,2.3,0,21,27,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:55:12.025006524Z,23,2.3,0,21,24,0,12,14,21.6,0
0004a30b0024358c,2019-01-15T07:56:11.525281154Z,22,2.3,0,21,26,0,12,12,21.6,0
0004a30b0024358c,2019-01-15T07:57:12.046123986Z,24,2.3,0,21,27,0,12,13,21.6,0
0004a30b0024358c,2019-01-15T07:58:11.569435961Z,24,2.3,0,21,23,0,12,14,21.6,0
